Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2006,Pepper,7866.5,5.1,20177.7,6872.5,5.2,17894.5,994,4.7,2283.3
2006,Potato,22106,2.8,62468.9,20902,2.8,58536.4,1204,3.3,3932.5
2006,Radish,252.5,2.1,520.8,242.5,2.1,505.1,10,1.6,15.7
2006,Spinach,396,1.5,608,396,1.5,608,0,0,0
2006,Squash,18038.1,1.8,32836.9,16124.1,1.8,29242.6,1914,1.9,3594.3
2006,Sweet melon,1864.5,3.9,7274.3,40,3,119.1,1824.5,3.9,7155.2
2006,Tomatoes,50785.4,5,255500.4,42138.9,5.1,215708.2,8646.5,4.6,39792.2
2006,Turnip,140.5,1.7,231.3,140.5,1.7,231.3,0,0,0
2006,Water melon,3111,4.2,13052.8,0,0,0,3111,4.2,13052.8
2007,Beans,7434.1,2.9,10788.7,5941.3,3,8562.7,1492.8,2.7,2226
2007,Cabbage,3470.8,4.6,15832.8,3352.3,4.6,15370.8,118.5,3.9,462
2007,Carrot,1651.8,4.9,8117.7,1547,5,7664,104.8,4.3,453.7
2007,Cauliflower,2819.1,3.3,9218.5,2741.6,3.3,8993.9,77.5,2.9,224.6
2007,Cowpeas,401.5,1.3,526.3,84.5,1.2,99.2,317,1.4,427.1
2007,Cucumber,10180.3,12.4,108790.1,9690.1,12.5,106130.6,490.2,10.1,2659.5
2007,Eggplants,24913.8,3.4,84295.6,21024.9,3.4,71336.5,3888.9,3.3,12959.2
2007,Jew's mallow,9415.3,2.9,27039.9,286,2.6,737,9129.3,2.9,26303
2007,Lettuce,3291.6,5.4,17658.7,3214.6,5.4,17324,77,4.4,334.6
2007,Okra,5729.4,0.7,3904.8,244,0.7,163.5,5485.4,0.7,3741.3
2007,Onion dry,3462.2,2.3,7929.2,3162.7,2.3,7278.5,299.5,2.2,650.8
2007,Onion green,431.3,2.4,1035.2,368.8,2.5,903.5,62.5,2.1,131.7
2007,Others_(Vegetables),2024.5,1.3,2702.5,1597,1.4,2162,427.5,1.3,540.3
2007,Parsley,521.3,3.2,1670,479.3,3.3,1557.9,42,2.7,112.2
2007,Peas,215.5,1.8,376.5,175,1.7,302.1,40.5,1.8,74.4
2007,Pepper,8949.8,6,26923.6,7215.5,6.2,21970.1,1734.3,5.7,4953.7
