Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2015,Eggplants,2227.4,3.4,7548.7,482.7,4,1951.6,1744.7,3.2,5597.1
2015,Jew's mallow,2117.3,2.5,5370,0,0,0,2117.3,2.5,5370
2015,Lettuce,1553.6,4.2,6522.5,1540.3,4.2,6469.3,13.3,4,53.2
2015,Okra,2870.1,1.1,3087.2,37.6,1.2,45.2,2832.5,1.1,3042
2015,Onion dry,327.6,4.3,1402.9,56.6,3.8,212.3,271,4.4,1190.6
2015,Onion green,405.2,2.2,891,405.2,2.2,891,0,0,0
2015,Others_(Vegetables),410,2.1,863.2,308.2,2.3,707.6,101.7,1.5,155.5
2015,Parsley,43.3,5,216.3,43.3,5,216.3,0,0,0
2015,Peas,65,2.1,137.3,55,2.1,116.1,10,2.1,21.2
2015,Pepper,3799.8,5.5,12196.7,1884.8,6.7,7070.6,1915.1,4.4,5126.2
2015,Potato,10615.5,2.5,25994.2,9646.2,2.4,23204.4,969.3,2.9,2789.8
2015,Radish,341.2,2.8,967.3,341.2,2.8,967.3,0,0,0
2015,Spinach,220.1,5.9,1298.2,220.1,5.9,1298.2,0,0,0
2015,Squash,2892,2.9,8251.4,2285.8,3,6768.5,606.2,2.5,1482.9
2015,Sweet melon,168.2,3.2,533.2,0,0,0,168.2,3.2,533.2
2015,Tomatoes,7961.3,9.6,76037.1,5189.3,10.7,55659.3,2772,7.4,20377.9
2015,Turnip,189.8,5.2,991,189.8,5.2,991,0,0,0
2015,Water melon,50,4,200.3,0,0,0,50,4,200.3
2016,Beans,1594.8,3.8,3058.6,946.2,3.9,1645.2,648.6,4.1,1413.4
2016,Cabbage,517.2,5.7,2967.7,380.4,6,2283.7,136.8,5,684
2016,Carrot,266.9,5.5,1468.9,266.9,5.5,1468.9,0,0,0
2016,Cauliflower,1024.3,4,4054.6,847.5,4,3418,176.8,3.6,636.6
2016,Cowpeas,70.1,1.5,108.1,0,0,0,70.1,1.5,108.1
2016,Cucumber,1716.7,11.5,19733.6,1456.4,11.9,17261.1,260.3,9.5,2472.5
2016,Eggplants,2753.5,3.8,10424.9,1266.6,4.2,5332.8,1486.8,3.4,5092.1
2016,Jew's mallow,1273,2.5,3221.6,90.1,2.4,220.2,1182.9,2.5,3001.4
2016,Lettuce,1396.4,3.9,5500.8,972.6,4,3890.5,423.8,3.8,1610.3
